Date,PlanningType,Company,store,Brand Code,Budget Sales Amount,Budget Margin Amount,Budget Cost Amount,FashionCOGS
17/10/2022,BUDGET,cocouae,C555,coco,99978.33302,54574.44285,45366.68323,36852.88175
01/11/2022,BUDGET,cocouae,C555,coco,123312.1929,68183.8774,55131.93011,44643.73316
03/11/2022,BUDGET,cocouae,C555,coco,123284.7204,68192.40606,55091.95984,44639.19514
18/11/2022,BUDGET,cocouae,C555,coco,123284.7443,68165.60345,55099.84256,44642.39136
23/10/2022,BUDGET,cocouae,C555,coco,99956.89349,54602.24312,45353.62508,36852.8062
26/10/2022,BUDGET,cocouae,C555,coco,99955.02408,54611.69167,45341.12809,36873.47686
09/11/2022,BUDGET,cocouae,C555,coco,123314.3276,68146.95127,55087.97992,44640.65161
10/11/2022,BUDGET,cocouae,C555,coco,123327.8805,68195.2702,55113.27127,44625.55026
31/07/2022,BUDGET,cocouae,C555,coco,80637.16265,41666.0332,38931.93352,32060.72816
03/08/2022,BUDGET,cocouae,C555,coco,77378.84945,43477.07045,33908.71506,27325.06411
17/08/2022,BUDGET,cocouae,C555,coco,77380.15266,43465.91639,33866.78113,27312.73654
18/08/2022,BUDGET,cocouae,C555,coco,77370.61987,43457.44332,33905.95849,27298.74436
14/10/2022,BUDGET,cocouae,C555,coco,99981.23712,54592.50526,45340.85604,36864.82602
16/10/2022,BUDGET,cocouae,C555,coco,99950.96516,54616.39304,45375.7435,36849.89473
18/10/2022,BUDGET,cocouae,C555,coco,99965.51089,54577.06572,45342.71477,36878.60074
31/10/2022,BUDGET,cocouae,C555,coco,99968.08344,54574.63208,45372.70381,36878.44084
02/11/2022,BUDGET,cocouae,C555,coco,123312.6813,68196.12403,55119.94911,44612.07712
17/11/2022,BUDGET,cocouae,C555,coco,123315.1524,68165.26794,55135.30444,44642.8703
19/11/2022,BUDGET,cocouae,C555,coco,123319.7352,68191.20355,55121.55528,44642.90911
12/10/2022,BUDGET,cocouae,C555,coco,99954.37703,54591.18197,45359.35999,36852.52925
19/10/2022,BUDGET,cocouae,C555,coco,99995.55378,54590.58846,45363.46488,36841.38268
30/10/2022,BUDGET,cocouae,C555,coco,99971.10206,54609.18067,45357.12679,36853.65179
06/11/2022,BUDGET,cocouae,C555,coco,123291.3043,68159.6911,55129.27097,44651.24179
13/11/2022,BUDGET,cocouae,C555,coco,123299.2455,68185.02612,55089.5939,44644.84808
20/10/2022,BUDGET,cocouae,C555,coco,99983.44335,54573.2217,45350.51547,36874.38272
22/10/2022,BUDGET,cocouae,C555,coco,99999.94567,54583.73456,45377.55325,36843.7727
27/10/2022,BUDGET,cocouae,C555,coco,99981.00601,54597.71419,45378.68217,36844.64032
29/10/2022,BUDGET,cocouae,C555,coco,99979.29223,54589.72032,45350.42722,36849.53336
21/11/2022,BUDGET,cocouae,C555,coco,123314.9079,68158.15044,55095.69478,44648.7925
20/11/2022,BUDGET,cocouae,C555,coco,123316.8997,68158.8772,55111.77489,44629.42184
05/12/2022,BUDGET,cocouae,C555,coco,145118.1505,79561.41422,65527.40356,53162.26364
07/12/2022,BUDGET,cocouae,C555,coco,145112.8844,79599.88966,65537.89417,53179.95236
20/12/2022,BUDGET,cocouae,C555,coco,145129.18,79568.09821,65548.45998,53166.93126
22/12/2022,BUDGET,cocouae,C555,coco,145159.4707,79564.97188,65503.91565,53209.82194
04/12/2022,BUDGET,cocouae,C555,coco,145125.1553,79571.13893,65521.78155,53180.24298
06/12/2022,BUDGET,cocouae,C555,coco,145157.0986,79600.73539,65540.53969,53186.38582
21/12/2022,BUDGET,cocouae,C555,coco,145138.5621,79594.41947,65512.58476,53169.41469
23/12/2022,BUDGET,cocouae,C555,coco,145136.0622,79571.94056,65548.02578,53180.11558
01/09/2022,BUDGET,cocouae,C555,coco,79957.66933,44939.0678,35033.91007,28199.5219
08/09/2022,BUDGET,cocouae,C555,coco,79975.80175,44934.77175,35020.46963,28209.04749
15/09/2022,BUDGET,cocouae,C555,coco,79961.06679,44956.69738,35040.65626,28221.3462
26/09/2022,BUDGET,cocouae,C555,coco,79981.74934,44912.80699,35032.14238,28195.76377
03/10/2022,BUDGET,cocouae,C555,coco,99998.78402,54579.93881,45337.86369,36859.9752
24/11/2022,BUDGET,cocouae,C555,coco,123300.5069,68176.73098,55120.05857,44617.70517
01/12/2022,BUDGET,cocouae,C555,coco,145161.1491,79582.59722,65514.2303,53182.89099
08/12/2022,BUDGET,cocouae,C555,coco,145113.914,79592.35356,65527.58302,53166.70737
19/12/2022,BUDGET,cocouae,C555,coco,145155.4636,79571.65799,65539.42375,53187.67711
26/12/2022,BUDGET,cocouae,C555,coco,145129.8447,79608.17071,65520.07491,53171.85645
04/10/2022,BUDGET,cocouae,C555,coco,99975.02915,54569.80155,45377.46369,36845.35109
11/10/2022,BUDGET,cocouae,C555,coco,99960.2099,54614.3135,45357.80434,36875.62084
13/10/2022,BUDGET,cocouae,C555,coco,99991.36518,54601.47914,45334.52718,36870.11737
05/11/2022,BUDGET,cocouae,C555,coco,123286.9415,68183.02739,55099.29208,44606.17028
07/11/2022,BUDGET,cocouae,C555,coco,123293.8447,68191.93281,55111.11249,44632.62128
